time usec,eci.quat.w,eci.quat.x,eci.quat.y,eci.quat.z,orb.quat.w,orb.quat.x,orb.quat.y,orb.quat.z,latitude deg,longitude deg,altitude m
1729664436738831,-0.6924974322319031,0.5377945303916931,-0.37570884823799133,-0.3001120686531067,0.7102906703948975,-7.64708784117829e-06,0.7039084434509277,0.00010490363638382405,57.620338439941406,53.29715347290039,535488.375
1729664437363587,-0.6924270391464233,0.538218080997467,-0.3757327198982239,-0.29948461055755615,0.7099334001541138,-0.00021990467212162912,0.704268753528595,1.1849298061861191e-05,57.58220291137695,53.27653884887695,535488.125
1729664437987946,-0.6923168897628784,0.5389382243156433,-0.37567925453186035,-0.29850953817367554,0.7094085812568665,-0.0007860580808483064,0.7047969698905945,-0.0002679947065189481,57.5440559387207,53.255950927734375,535487.875
1729664439235413,-0.6921560168266296,0.5400770902633667,-0.3755563497543335,-0.2969750761985779,0.708602786064148,-0.001599639537744224,0.7056055068969727,-0.0006177852628752589,57.46790313720703,53.21497344970703,535487.3125
1729664439860169,-0.6915112137794495,0.5423136353492737,-0.37558040022850037,-0.29435959458351135,0.7069488167762756,-0.003722995752468705,0.7072533965110779,-0.001471212599426508,57.42973709106445,53.19449234008789,535487.0625
1729664440484467,-0.6911425590515137,0.5437736511230469,-0.3754778206348419,-0.29265788197517395,0.7059397101402283,-0.005085467826575041,0.708250880241394,-0.0019905087538063526,57.391639709472656,53.17409133911133,535486.75
1729664442357086,-0.6905065774917603,0.5464200377464294,-0.3752600848674774,-0.28949210047721863,0.7040995955467224,-0.007299842778593302,0.7100585103034973,-0.0027254975866526365,57.27721405029297,53.113037109375,535485.9375
1729664442981720,-0.6905227899551392,0.5466680526733398,-0.3751142621040344,-0.28917405009269714,0.7040018439292908,-0.0073991622775793076,0.7101544737815857,-0.0027013400103896856,57.23907470703125,53.09276580810547,535485.625
1729664443481873,-0.6904968023300171,0.5469635725021362,-0.3750157952308655,-0.28880470991134644,0.7038392424583435,-0.0075733656994998455,0.7103136777877808,-0.0027206947561353445,57.208518981933594,53.0765495300293,535485.375
1729664443982880,-0.6905222535133362,0.5471639633178711,-0.37491533160209656,-0.2884945869445801,0.7037345767021179,-0.00765454676002264,0.7104164361953735,-0.0027468327898532152,57.177913665771484,53.060333251953125,535485.125
1729664444484131,-0.6905308365821838,0.5473644733428955,-0.3748074173927307,-0.2882337272167206,0.703648030757904,-0.007732241414487362,0.7105014324188232,-0.0027270072605460882,57.14730453491211,53.04413986206055,535484.9375
1729664445107514,-0.6905154585838318,0.547649621963501,-0.3746236562728882,-0.28796762228012085,0.7035725712776184,-0.007876280695199966,0.7105748057365417,-0.0026430515572428703,57.109169006347656,53.02399444580078,535484.625
1729664445730988,-0.6907473802566528,0.5474788546562195,-0.3742940425872803,-0.2881647050380707,0.703910768032074,-0.007615705952048302,0.710243284702301,-0.002482878975570202,57.07108688354492,53.0039176940918,535484.3125
1729664446356049,-0.6914103031158447,0.5463250279426575,-0.3737468421459198,-0.28947213292121887,0.7051068544387817,-0.006416461896151304,0.7090691924095154,-0.0019961849320679903,57.032936096191406,52.98384094238281,535484.0
1729664447357666,-0.692263126373291,0.5444462895393372,-0.373311311006546,-0.29152822494506836,0.7067368030548096,-0.004254760220646858,0.7074629664421082,-0.001052445382811129,56.97168731689453,52.95168685913086,535483.5
